OCCUPATION,FEMALE
at service,76
at service,90
at service,622
at service,733
at service,1133
at service,1893
at service,1929
baker,3106
barber,1075
boarding house,3902
cake baker,61
cake baker,558
cake baker,692
cake baker,1652
cake baker,1736
cake baker,3926
cake seller,1070
confectioner,389
confectioner,864
confectioner,2498
cook,22
cook,28
cook,236
cook,413
cook,414
cook,446
cook,463
cook,474
cook,493
cook,518
cook,592
cook,595
cook,614
cook,615
cook,640
cook,650
cook,659
cook,683
cook,706
cook,709
cook,720
cook,825
cook,852
cook,916
cook,926
cook,933
cook,938
cook,958
cook,973
cook,990
cook,991
cook,1003
cook,1047
cook,1068
cook,1081
cook,1149
cook,1226
cook,1261
cook,1269
cook,1284
cook,1306
cook,1330
cook,1343
cook,1365
cook,1396
cook,1406
cook,1421
cook,1448
cook,1480
cook,1534
cook,1590
cook,1612
cook,1620
cook,1626
cook,1655
cook,1656
cook,1684
cook,1695
cook,1804
cook,1830
cook,1857
cook,1904
cook,1976
cook,2000
cook,2022
cook,2045
cook,2181
cook,2219
cook,2330
cook,2351
cook,2396
cook,2433
cook,2466
cook,2556
cook,2574
cook,2720
cook,2721
cook,2769
cook,2809
cook,2891
cook,2909
cook,2911
cook,3004
cook,3015
cook,3024
cook,3029
cook,3044
cook,3045
cook,3127
cook,3140
cook,3156
cook,3198
cook,3233
cook,3237
cook,3257
cook,3263
cook,3267
cook,3332
cook,3427
cook,3439
cook,3444
cook,3445
cook,3450
cook,3483
cook,3489
cook,3492
cook,3495
cook,3564
cook,3613
cook,3625
cook,3651
cook,3711
cook,3713
cook,3715
cook,3746
cook,3768
cook,3805
cook,3869
cook,3870
cook,3888
cook,3892
cook,3942
cook,3948
cook,3958
cook,3963
cook,3967
cooking,2707
cooking,2862
cooking,2942
cooking,2962
cooking,3086
cooking,3126
cooking,3131
cooking,3202
cooking,3346
cooking,3556
cooking,3639
cooking,3765
cooking,3881
cooking,4050
cooking,4068
cooking,4193
cooks,2926
cooks,3007
cooks,3969
cuts rags,2880
cuts rags,2898
cuts rags,2902
cuts rags,2928
cuts rags,2996
cuts rags,3096
cuts rags,3147
cuts rags,3255
cuts rags,3261
cuts rags,3275
cuts rags,3416
cuts rags,3461
cuts rags,3553
cuts rags,3561
cuts rags,3616
cuts rags,3630
cuts rags,3632
cuts rags,3643
cuts rags,3849
cuts rags,3939
cuts rags,3982
cuts rags,3999
days work,3260
days work,3810
days work,11
days work,23
days work,27
days work,29
days work,30
days work,39
days work,40
days work,41
days work,46
days work,50
days work,54
